"AdaptivePlugin","24"
"BlameSubversion","116"
"LavaLampNotifier","50"
"PrioritySorter","207"
"SCTMExecutor","11"
"Schmant","4"
"URLSCM","257"
"WebSVN2","218"
"accurev","77"
"active-directory","1741"
"analysis-collector","2008"
"analysis-core","5487"
"android-emulator","204"
"artifactory","638"
"audit-trail","961"
"backlog","67"
"backup","1651"
"bamboo-notifier","24"
"batch-task","1291"
"bazaar","104"
"bitkeeper","8"
"blame-upstream-commiters","337"
"bruceschneier","153"
"buckminster","129"
"bugzilla","417"
"build-name-setter","145"
"build-pipeline-plugin","271"
"build-publisher","367"
"build-timeout","1715"
"bulk-builder","171"
"campfire","92"
"cas1","53"
"cccc","256"
"ccm","102"
"changelog-history","553"
"checkstyle","2855"
"chucknorris","2095"
"ci-game","1157"
"cifs","176"
"claim","540"
"clearcase","529"
"clearcase-release","89"
"clearcase-ucm-baseline","99"
"clone-workspace-scm","269"
"clover","869"
"cmakebuilder","207"
"cmvc","4"
"cobertura","2906"
"codescanner","83"
"collabnet","66"
"collapsing-console-sections","152"
"compact-columns","526"
"concordionpresenter","36"
"configurationslicing","436"
"confluence-publisher","64"
"console-column-plugin","146"
"copy-data-to-workspace-plugin","60"
"copy-project-link","70"
"copy-to-slave","641"
"copyarchiver","784"
"copyartifact","1181"
"covcomplplot","137"
"cppcheck","433"
"cppncss","67"
"cpptest","65"
"cppunit","305"
"crap4j","277"
"createjobadvanced","242"
"cron_column","442"
"crowd","157"
"cvs","13139"
"cvs-tag","255"
"cygpath","54"
"dashboard-view","1995"
"dbCharts","89"
"dependencyanalyzer","744"
"depgraph-view","401"
"deploy","1572"
"deploy-websphere","124"
"description-setter","623"
"dimensionsscm","36"
"disk-usage","2375"
"distTest","18"
"distfork","104"
"doclinks","635"
"dos-trigger","131"
"downstream-buildview","862"
"downstream-ext","628"
"doxygen","598"
"dropdown-viewstabbar-plugin","67"
"dry","1566"
"dumpinfo-buildwrapper-plugin","31"
"easyant","73"
"ec2","138"
"email-ext","3841"
"emma","1241"
"emotional-hudson","1257"
"envfile","442"
"excludeMatrixParent","9"
"exclusive-execution","162"
"extended-choice-parameter","180"
"extended-read-permission","221"
"favorite","267"
"files-found-trigger","312"
"filesystem_scm","282"
"findbugs","2829"
"fitnesse","215"
"flashlog-plugin","22"
"fortify360","51"
