""Linux (sparc)"","1"
""OpenBSD (amd64)"","1"
""OpenBSD (i386)"","1"
""UnixWare (IA32)"","1"
""Windows 2003 (ia64)"","1"
""Windows Server 2008 (ia64)"","1"
""linux (amd64)"","1"
""HP-UX (IA64W)"","2"
""NetBSD (amd64)"","2"
""Windows Server 2003 (amd64)"","2"
""Linux (s390)"","3"
""Linux (arm)"","4"
""Linux (s390x)"","5"
""Linux (ppc)"","9"
""Mac OS X (ppc)"","9"
""SunOS (amd64)"","10"
""SunOS (sparcv9)"","10"
""Windows NT (unknown) (x86)"","10"
""Linux (ia64)"","17"
""Linux (ppc64)"","20"
""Windows Server 2003 (x86)"","25"
""HP-UX (PA_RISC2.0)"","40"
""FreeBSD (amd64)"","42"
""Windows Vista (amd64)"","42"
""Linux (x86)"","45"
""FreeBSD (i386)"","48"
""Windows 2000 (x86)"","52"
""HP-UX (IA64N)"","65"
""AIX (ppc64)"","68"
""Windows XP (amd64)"","80"
""AIX (ppc)"","83"
""Mac OS X (i386)"","112"
""Windows Server 2008 (amd64)"","204"
""Windows Vista (x86)"","229"
""Windows 2003 (amd64)"","265"
""SunOS (x86)"","292"
""Windows Server 2008 R2 (x86)"","332"
""Windows 7 (amd64)"","382"
""Windows Server 2008 (x86)"","415"
""Windows Server 2008 R2 (amd64)"","452"
""SunOS (sparc)"","529"
""Mac OS X (x86_64)"","553"
""Windows 7 (x86)"","562"
""Windows 2003 (x86)"","2261"
""Windows XP (x86)"","2682"
""Linux (i386)"","5605"
"N/A","7372"
""Linux (amd64)"","7574"
