"92",""AIX (ppc)""
"71",""AIX (ppc64)""
"39",""FreeBSD (amd64)""
"46",""FreeBSD (i386)""
"69",""HP-UX (IA64N)""
"2",""HP-UX (IA64W)""
"39",""HP-UX (PA_RISC2.0)""
"7908",""Linux (amd64)""
"4",""Linux (arm)""
"5403",""Linux (i386)""
"17",""Linux (ia64)""
"1",""Linux (nova)""
"10",""Linux (ppc)""
"19",""Linux (ppc64)""
"2",""Linux (s390)""
"6",""Linux (s390x)""
"47",""Linux (x86)""
"112",""Mac OS X (i386)""
"10",""Mac OS X (ppc)""
"605",""Mac OS X (x86_64)""
"2",""NetBSD (amd64)""
"1",""NetBSD (i386)""
"1",""OpenBSD (amd64)""
"10",""SunOS (amd64)""
"532",""SunOS (sparc)""
"10",""SunOS (sparcv9)""
"289",""SunOS (x86)""
"1",""UnixWare (IA32)""
"43",""Windows 2000 (x86)""
"282",""Windows 2003 (amd64)""
"1",""Windows 2003 (ia64)""
"2305",""Windows 2003 (x86)""
"395",""Windows 7 (amd64)""
"701",""Windows 7 (x86)""
"16",""Windows NT (unknown) (x86)""
"1",""Windows Server 2003 (amd64)""
"18",""Windows Server 2003 (x86)""
"239",""Windows Server 2008 (amd64)""
"1",""Windows Server 2008 (ia64)""
"449",""Windows Server 2008 (x86)""
"461",""Windows Server 2008 R2 (amd64)""
"422",""Windows Server 2008 R2 (x86)""
"42",""Windows Vista (amd64)""
"200",""Windows Vista (x86)""
"67",""Windows XP (amd64)""
"2763",""Windows XP (x86)""
"8202","N/A"
